No;Game Name;Game protocol;Supported since;Verified;By;INTERNATIONAL_ID;FTN_ID
485;ARI;FreeTrack20;V160;;;20795;01E533F9AAFE57D5430600
124;ArmA;FreeTrack20;V160;;;10601;007C38EA44ADDAA358D900
273;ArmA 2;FreeTrack20;V170;;;7502;1D4EEB3616B3A44F05B900
426;Arma 3;FreeTrack20;V170;;;7503;1D4FB69411ABD4E2B39900
276;Armored Assault - Gold Edition;FreeTrack20;V170;;;1303;0517A7F7CAA00814ECA700
423;Arvoch Alliance;FreeTrack20;V160;;;14908;01A7F311F312BFC5057900
191;Arvoch Conflict;FreeTrack20;V160;;;14901;00BF8E0AA63919A632EB00
226;Auditory Displays for the blind;FreeTrack20;V160;;;20035;00E233D303ECAA687F6C00
473;Autodesk;FreeTrack20;V160;;;20755;01D9861B5E74923B501800
150;AV Core Technology;FreeTrack20;V160;;;20016;009618521D67AAC73AB000
341;AVRS;FreeTrack20;V160;;;20340;0155286F525153D27DFE00
469;B.O.M.B.;FreeTrack20;V160;;;3325;01D572C028D57E89BC0200
154;BAE Systems HILAS cockpit;FreeTrack20;V160;;;20019;009A79731D5E78C1A7A500
278;Battle of Britain (iENT);FreeTrack20;V170;;;1305;05190BA119195B701AED00
68;Battle of Britain II - Wings of Victory;FreeTrack20;V160;;;7001;0044F8561890C5731B4A00
60;Battlecruiser;FreeTrack20;V160;;;6101;003CBB561A0923152A5100
107;Battlefield 2;FreeTrack20;V170;;;9601;2581B1560A2A7327659200
64;Battlefield 2 Trauma Studios;FreeTrack20;V160;;;6501;004006A4B42823F88E3400
271;Battlefield 2142;FreeTrack20;V170;;;9602;25821C739AD3817FD43300
18;Battleground Europe : World War II Online;FreeTrack20;V160;;;3301;001242F35C2472CB3ACD00
131;Battleground Europe : WWII Online;FreeTrack20;V160;;;11201;00834A3092D9427631DE00
126;Beckman Institute UIUC;FreeTrack20;V160;;;20012;007EFB3EEF546B024DFD00
169;Beyond The Red Line;FreeTrack20;V160;;;13301;00A94CBE5A4F44EB519800
167;BF2 (Unsupported Demo);FreeTrack20;V160;;;9651;00A7278E32A322457EDD00
